n 254 0 0
n 253 254 2
n 11 255 1
n 1 30 254
n 254 0 246
p 224 187 228
p 210 145 188
p 254 200 216
p 255 223 211
v 0 120 255
v 189 0 255
v 255 154 0
v 1 255 31
v 227 255 0
g 105 116 131
g 184 184 184
g 129 118 101
g 216 182 147
l 230 29 29
l 255 215 210
l 255 201 225
l 210 167 254
l 33 33 33
